"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "HTML", "comment", "blank", "total"
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/PDU/layer1/msgDefL1.js", "JavaScript", 0, 49, 0, 0, 0, 5, 6, 60
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/PDU/layer2/msgDefL2.js", "JavaScript", 0, 94, 0, 0, 0, 3, 7, 104
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/PDU/msgDefGeneral.js", "JavaScript", 0, 6, 0, 0, 0, 2, 1, 9
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/package-lock.json", "JSON", 0, 0, 226, 0, 0, 0, 1, 227
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/package.json", "JSON", 0, 0, 17, 0, 0, 0, 1, 18
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/protocol-description.md", "Markdown", 16, 0, 0, 0, 0, 0, 4, 20
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/todo-list.md", "Markdown", 3, 0, 0, 0, 0, 0, 2, 5
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/config-overrides.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/package-lock.json", "JSON", 0, 0, 31091, 0, 0, 0, 1, 31092
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/package.json", "JSON", 0, 0, 55, 0, 0, 0, 1, 56
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/index.js", "JavaScript", 0, 9, 0, 0, 0, 1, 2, 12
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/layer1/sessionLayerClient.js", "JavaScript", 0, 62, 0, 0, 0, 35, 14, 111
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/layer2/operationTransferLayerDownstream.js", "JavaScript", 0, 75, 0, 0, 0, 19, 13, 107
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/layer2/operationTransferLayerUpstream.js", "JavaScript", 0, 76, 0, 0, 0, 57, 12, 145
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/layer2/stateManageLayer.js", "JavaScript", 0, 54, 0, 0, 0, 14, 22, 90
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/package-lock.json", "JSON", 0, 0, 12, 0, 0, 0, 1, 13
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/protocol/package.json", "JSON", 0, 0, 11, 0, 0, 0, 1, 12
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/public/index.html", "HTML", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/App.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/Join/Join.css", "CSS", 0, 0, 0, 59, 0, 0, 12, 71
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/Join/Join.js", "JavaScript", 0, 28, 0, 0, 0, 3, 4, 35
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/Stickynote/Stickynote.css", "CSS", 0, 0, 0, 36, 0, 0, 3, 39
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/Stickynote/Stickynote.js", "JavaScript", 0, 87, 0, 0, 0, 8, 16, 111
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/whiteboard/Whiteboard.js", "JavaScript", 0, 73, 0, 0, 0, 25, 17, 115
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/components/whiteboard/whiteboard.css", "CSS", 0, 0, 0, 46, 0, 3, 11, 60
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-config.js", "JavaScript", 0, 124, 0, 0, 0, 22, 23, 169
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-draw.js", "JavaScript", 0, 42, 0, 0, 0, 14, 9, 65
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-image.js", "JavaScript", 0, 54, 0, 0, 0, 3, 5, 62
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-state.js", "JavaScript", 0, 25, 0, 0, 0, 2, 7, 34
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-stickynote.js", "JavaScript", 0, 42, 0, 0, 0, 6, 13, 61
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui-undo.js", "JavaScript", 0, 28, 0, 0, 0, 4, 3, 35
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/gui.js", "JavaScript", 0, 2, 0, 0, 0, 9, 4, 15
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/src/index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/client/start-client.js", "JavaScript", 0, 10, 0, 0, 0, 11, 4, 25
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/server/package-lock.json", "JSON", 0, 0, 3310, 0, 0, 0, 1, 3311
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/server/package.json", "JSON", 0, 0, 23, 0, 0, 0, 1, 24
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/server/protocol/layer1/sessionLayerServer.js", "JavaScript", 0, 104, 0, 0, 0, 26, 15, 145
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/server/protocol/layer1/users.js", "JavaScript", 0, 20, 0, 0, 0, 0, 9, 29
"/Users/jdszsl/Desktop/projects/phb-2021-3-12/real-time-whiteboard/whiteboard/server/server-start.js", "JavaScript", 0, 35, 0, 0, 0, 10, 12, 57
"Total", "-", 57, 1131, 34745, 141, 10, 282, 300, 36666